장학금 명칭,선발기준,유지조건,지급액
재학 성적우수 장학금,"학과별 선발인원 적용(소프트웨어학부, 글로벌학부 제외). 성적우수자 선발을 원칙으로 하되 학과(전공)별 별도 기준에 의해 선발하며 반드시 사전 승인 후 선발함. 재학생 수 5~60명: A등급 1명 / 61~120명: A등급 2명 / 121명 이상: A등급 3명 선발. B등급은 학과(전공), 학년별 재학생의 20% 이내(A등급 포함)","직전학기 성적 3.50 이상. 단, 신·편입생 입학학기는 성적 기준 미적용. 단과대학/스쿨별 직전학기 최소 이수학점 기준 충족 필요","A등급: 등록금 60% 감면, B등급: 등록금 30% 감면"
글로벌학부 성적우수 장학금,"글로벌학부 전공·학년별 성적 우수자 선발. 전공별 재학생 수 5명 이상 시 선발. (한중통번역·문화산업전공 제외) 글로벌비즈니스전공·정보법과학전공은 전공 합산 인원 기준 적용. A등급: 직전학기 최우수 성적자, B등급: 상위 15% 이내(A 포함). 한중통번역·문화산업전공은 B등급 상위 10% 이내(A 포함)","직전학기 성적 3.00 이상. 외국인 및 일부 학년은 최소 이수학점 12학점 기준 적용","내국인 A등급: 등록금 70% 감면, B등급: 등록금 50% 감면 / 외국인 A등급: 등록금 100% 감면, B등급: 등록금 70% 감면"
성적향상장학금,"전전학기 성적 2.0 이상자 중 2개 학기 성적을 비교하여 성적 상승 편차가 큰 학생 선발. 성적향상자 중 상위 100명 선발","직전학기 성적 3.50 이상","등록금 20% 감면"
복지장학금Ⅰ,"국가장학금 신청자 중 경제적 사정이 곤란한 학생에게 지급. 장학금 예산 범위 내에서 매학기 선발. 수혜자가 당해 학기 휴학할 경우 복학 시 재신청해야 함","직전학기 성적 2.60 이상","분위별 차등 정액 지급(기초생활수급자 최대 등록금 50% 감면). 교내 타 장학금과 중복 허용"
복지장학금Ⅱ,"장애인복지법에 의해 1~6급으로 등록된 학생으로 국가장학금 대상자(소득분위 0~9분위)","직전학기 성적 2.00 이상","등록금 30% 감면"
보훈장학금,"국가유공자 등 예우 및 지원에 관한 법률 및 학교 수업료·입학금 규칙에 의거한 국가유공자 또는 그 손·자녀. 교육지원 대상 여부는 반드시 보훈청 확인 필요","직전학기 성적 백분율 70점 이상","등록금 100% 감면(국고 50% 포함)"
특기장학금,"체육특기자로 선발된 학생. 육성종목(A, B등급) 및 일반종목(A, B, C등급)으로 구분하여 선발","직전학기 성적 2.00 이상","육성종목 A등급: 등록금 100% 감면, B등급: 등록금 70% 감면 / 일반종목 A등급: 등록금 100% 감면, B등급: 등록금 70% 감면, C등급: 등록금 50% 감면"
리더십장학금,"학생자치기구 등에서 학교 발전을 위해 활동한 학생(기존 봉사장학금). 8학기째 이수자는 해당 학기 성적을 적용하며 Pass/Non-pass 교과만 수강한 경우 Pass 취득 필요. 등록금 범위 초과 및 중복 지급 가능","직전학기 성적 2.50 이상","따로 정함(현금 지급 가능)"
근로장학금,"학내 제기구에서 근로·봉사를 제공한 학생","성적 제한 없음","최저임금 적용"
근로장학금Ⅱ,"행정부서에서 선발하여 홍보대사, 교양수업 보조, 학생생활관 및 외국어관 사생위원, 보조사감, 한림오디세우스, 대형강의 수업지원 등 활동 학생","직전학기 성적 2.00 이상","관련 부서의 지급 기준에 의함"
한림형제자매장학금,"직계 존·비속 또는 형제자매 2명 이상이 본교에 동시에 재학 중인 학생. 장학금 수혜 자격은 입학연도가 늦은 학생에게 부여","직전학기 성적 2.00 이상","등록금 50% 감면"
SW인재장학금Ⅰ,"소프트웨어학부 선발 인원. 성적 및 마일리지 기준 충족자 중 성적 상위자 선발. 전공·복수전공 합산 12학점 이상 이수자(일부 학기 예외 적용). 재학생 수 구간별 S·A·B등급 선발","직전학기 성적 3.50 이상","S등급: 등록금 전액 감면, A등급: 등록금 60% 감면, B등급: 등록금 30% 감면"
SW인재장학금Ⅱ,"소프트웨어학부 복수전공 및 융합전공 선발 인원. 주전공 성적 우수자 중 학과(전공) 기준 성적우수자 선발","직전학기 성적 3.50 이상","A등급: 등록금 60% 감면, B등급: 등록금 30% 감면"
SW 인턴십장학금Ⅰ,"SW중심대학 사업단에서 실시하는 인턴십 프로그램 참여 학생","선발 기준에 따름","따로 정함"
SW 인턴십장학금Ⅱ,"방학 중 SW중심대학 사업단에서 운영하는 인턴십 프로그램에 참여하고 이수한 학생","선발 기준에 따름","계절학기 학점당 75,000원"
SW 봉사장학금,"소프트웨어학부 소속 전공 발전 및 학생 활동 등을 위해 봉사한 학생. 8학기 이수자는 해당 학기 성적 적용 및 현금 지급 가능","직전학기 성적 2.50 이상","따로 정함"
SW 근로장학금,"소프트웨어 실습 및 교육 관련 부서에서 근로·봉사를 제공한 학생","성적 제한 없음","최저임금 적용"
SW 멘토링장학금,"SW중심대학 사업단에서 실시하는 멘토링 프로그램 참여 및 일정 기준 충족 학생","선발 기준에 따름","최저임금 적용"
SW 해외연수장학금,"SW중심대학 국제교류 프로그램 선발 기준에 따라 선발된 학생","선발 기준에 따름","따로 정함"
SW 추천장학금,"매학년도 예산 범위 내에서 시행계획 수립 후 총장 보고 및 시행","직전학기 성적 2.00 이상","관련 부서의 지급 기준에 의함"
멘토링장학금,"멘토링 프로그램에 참가한 학생","선발 기준에 따름","따로 정함"
해외현지교육장학금,"본교와 교류 협정을 체결한 외국 대학에서 소속 학과(전공) 개설 강좌를 한 학기 이수한 학생","직전학기 성적 2.00 이상","따로 정함"
우수파견교환학생장학금,"재학 및 휴학생 중 공개경쟁 교환학생 프로그램 선발자","선발 기준에 따름","따로 정함"
사회진출활동장학금,"사회진출 프로그램에 참여한 학생","선발 기준에 따름","따로 정함"
한림창업장학금,"창업 관련 실적이 우수하여 창업지원본부장 및 산학협력단장 추천을 받은 학생","선발 기준에 따름","따로 정함"
현장실습지원장학금,"현장실습센터 인턴십 프로그램 또는 학생군사교육단 계절학기 입영훈련 프로그램 참여 및 이수 학생","직전학기 성적 2.00 이상","정규학기 500,000원 / 계절학기 학점당 수업료 / 취업역량강화 200,000원"
국제교류장학금,"글로벌협력센터·의과대학 교학팀 국제교류 프로그램 또는 글로벌학부 SAP 선발자","선발 기준에 따름","관련 부서의 지급 기준에 의함"
마일리지장학금,"학과 및 행정부서 마일리지 운영 기준에 따라 선발된 학생","직전학기 성적 2.00 이상","관련 부서의 지급 기준에 의함"
각종경진대회장학금,"학과 및 행정부서 주관 경진대회·공모전 입상자","선발 기준에 따름","입상자별 일정액"
학과부서장학금,"행정부서 및 학과 등 부서 자체 선발","선발 기준에 따름","부서별 책정 예산에 따라 지급"
기금장학금,"기금운영세칙에 따른 선발 기준 적용(일송·운주·청해·아미·송우천·최영희·최철진·간호으뜸·정진근·심리학과·강영희·양순옥·의과대학발전기금 등)","선발 기준에 따름","부서별 책정 예산에 따라 지급"
Hallymer장학금(교내추천),"한림영어인증Ⅰ·Ⅱ 인증자, 대학·올해를 빛낸 Hallymer, 학(과)장·전공 추천자","선발 기준에 따름","따로 정함"
Hallymer장학금(대외추천),"전국 규모 공모전·대회 3위 이내 입상자 또는 지역기관장·광역기관장 이상이 수여한 효행·선행상 수상자","선발 기준에 따름","30만원"
Hallymer장학금(자기추천),"긴급한 경제 사정 변화로 가계 곤란 학생 또는 장학금 필요 사유 및 장래 계획을 종합 작성한 자기추천서 제출자","선발 기준에 따름","따로 정함"
Hallymer장학금(기타),"위 해당 분야 외 사항으로 매학년도 예산 범위 내 시행계획 수립 후 총장 보고","선발 기준에 따름","따로 정함"
지역공공인재장학금,"지역선도대학육성사업 참여 융합전공 계절학기 수업 이수 학생","직전학기 성적 2.00 이상","학점당 계절학기 수업료"
공유대학혁신인재장학금,"공유대학 혁신플랫폼 개설 계절학기 수업 이수 학생","직전학기 성적 2.00 이상","학점당 계절학기 수업료"
체육특기(기숙사비)장학금,"체육특기생(씨름부) 중 기숙사 입사 학생","직전학기 성적 2.00 이상","학기 중 500,000원, 방학 중 200,000원"
